mode,precision_at_k,recall,mrr_at_10,ndcg_at_10,docs_used,tokens_used,noise_tokens,answer_f1,answer_coverage
fixed_3,0.2,0.573333,0.510048,0.484008,3.0,851.88,684.853333,0.022765,0.606192
fixed_5,0.144,0.693333,0.510048,0.532184,5.0,1415.64,1216.176,0.014834,0.650669
fixed_8,0.1,0.773333,0.510048,0.558136,8.0,2288.28,2068.18,0.009754,0.681399
fixed_10,0.08,0.773333,0.510048,0.558136,10.0,2859.12,2638.792,0.008207,0.723691
learned_budget,0.191667,0.573333,0.510048,0.484008,3.2,913.44,744.043333,0.022537,0.606192
learned_compensated_budget,0.191667,0.573333,0.510048,0.484008,3.2,913.44,744.043333,0.022537,0.606192
sequential_sufficiency_budget,0.2,0.573333,0.510048,0.484008,3.0,851.88,684.853333,0.022765,0.606192
oracle_dynamic_budget,0.234,0.773333,0.510048,0.558136,3.64,1047.88,823.119333,0.021858,0.622859
